"Presenter name","Talk Number","Coauthors","Affiliations","Title","Topics (select all that apply)","Keywords","Abstract (max 1500 characters)"
"Leo Speidel [1,2]",,"Hongjin Wu [3], Chao Yang [3], Daniel Falush [3]","[1] Genetics Institute, University College London, UK
[2] Francis Crick Institute, UK
[3] Institute Pasteur of Shanghai, Chinese Academy of Science, People’s Republic of China","bacRelate: Powerful inference of bacterial evolution by building genealogies","Population genetics;Phylogenetics;Pathogen genomics","Genealogies, bacteria","Bacteria are our constant companions and our interactions with them determine whether we maintain good health or succumb to disease. The basis of all genomic analysis is a description of how organisms are related to each other. Bacteria evolve by mutation and incorporation of DNA from other lineages into their genome. Each change has the potential to modify its phenotypic properties, as well as providing a marker that can be used to reconstruct how it and the DNA inside it spread from host to host.

We have developed a new approach for inferring the genealogical relationships of bacteria from their observed genetic variation by adapting Relate, which was originally designed to infer genome-wide genealogies in humans at scale. In our new approach, we account for the differences in how genetic material is transmitted in humans and bacteria by jointly inferring genome-wide clonal relationships and local genealogical trees incorporating non-clonal inheritance through recombination. This allows us to detect shorter recombination tracts common in bacteria with higher precision and will allow us to accurately map patterns of gene-flow in different parts of bacterial genomes and infer selective pressures using tens of thousands of sequenced strains."
"Lei Zhao",,"Lei Zhao [1], Rasmus Nielsen [2], Thorfinn Sand Korneliussen [1]","[1] Section for Geogenetics, Globe Institute, University of Copenhagen, [2] Departments of Integrative Biology and Statistics, UC Berkeley","distAngsd: Fast and accurate inference of genetic distances for Next Generation Sequencing data","Population genetics;Phylogenetics","phylogeny reconstruction, genotype likelihood, genetic distance, high throughput sequencing, next generation sequencing, molecular evolution","Commonly used methods for inferring phylogenies were designed before the emergence of high throughput sequencing and can generally not accommodate the challenges associated with noisy, diploid sequencing data. In many applications, diploid genomes are still treated as haploid through the use of ambiguity characters; while the uncertainty in genotype calling - arising as a consequence of the sequencing technology - is ignored. In order to address this problem we describe two new probabilistic approaches for estimating genetic distances: distAngsd-geno and distAngsd-nuc, both implemented in a software suite named distAngsd. These methods are specifically designed for next generation sequencing data, utilize the full information from the  data, and take uncertainty in genotype calling into account. Through extensive simulations, we show that these new methods are markedly more accurate and have more stable statistical behaviors than other currently available methods for estimating genetic distances - even for very low depth data with high error rates."
"Jaromir Sant [1]",,"Paul A. Jenkins [1,2,3], Jere Koskela [1], Dario Spanò [1]","[1] Department of Statistics, University of Warwick, [2] Department of Computer Science, University of Warwick, [3] The Alan Turing Institute","Inference of natural selection and allele age from allele frequency time series data using exact simulation techniques.","Population genetics;Natural selection","Wright-Fisher diffusion, MCMC, Bayesian, Exact Inference, Selection","A standard problem in population genetics is to infer evolutionary and biological parameters such as the effective population size, allele age, and strength of natural selection from DNA samples extracted from a contemporary population. That all samples come only from the present-day has long been known to limit statistical inference; there is potentially more information available if one also has access to ancient DNA so that inference is based on a time-series of historical changes in allele frequencies. In this talk I will introduce a Markov Chain Monte Carlo method for Bayesian inference from allele frequency time-series data based on an underlying Wright-Fisher diffusion model of evolution. The chief novelty is that we show this method to be exact in the sense that it is possible to enable mixing by augmenting the state space with the unobserved diffusion trajectory, despite the fact that the transition function of the diffusion is intractable. We develop an efficient method in which trajectory updates and accept/reject probabilities can be calculated without error, and illustrate its performance on simulated data.

This is joint work with Paul Jenkins, Jere Koskela, and Dario Spano (University of Warwick)."
"Ronja Jessica Billenstein [1, 2]",,"Sebastian Höhna [1, 2]","[1] GeoBio-Center LMU, Ludwig-Maximilians-Universität München, Richard-Wagner-Str. 10, 80333 Munich, Germany, [2] Department of Earth and Environmental Sciences, Paleontology & Geobiology, Ludwig-Maximilians-Universität München, Richard-Wagner-Str. 10, 80333 Munich, Germany.","Evaluation of Bayesian genealogy-based coalescent models for demographic inference","Population genetics","Demographic Inference, Coalescent","Coalescent processes are widely applied for inferring demographic histories, especially population sizes through time. From maximum likelihood estimation of a simple, constant process, more complex models were developed. These models include for example varying population size functions, the division into several intervals with their own function each, and allowing for different sampling points in time. We implemented various genealogy-based coalescent processes in the Bayesian software RevBayes. These cover a wide range from simple basic demographic models such as a constant, linear or exponential population size trajectory to user-defined trajectories with an individual number of intervals that can each have one of the basic models attached. Additionally, using skyline models, the user can choose between piecewise constant or piecewise linear models with a variety of possibilities on how to set the prior for the population sizes or on how the interval change points should be placed. Our implementation in RevBayes allows for extreme flexibility and includes the largest number of demographic models for inference within the same software. We applied several of the models to infer the demographic history of horses. Interestingly, the method of interval change point positioning and whether heterochronous or isochronous data were used had the highest impact on the resulting population size trajectories, yielding qualitatively different conclusions."
"María Inés Fariello",,"Gastón Rijo [1,2], Bertrand Servin [3], Maria Ines Fariello [4,5]","[1] CICADA, Universidad de la República, [2] Human Evolutionary Genetics, Institut Pasteur, [3] GenPhySE, INRAe, [4] Facultad de Ingeniería, Universidad de la República, [5] UBi, Institut Pasteur Montevideo","Detecting selection in admixed populations using hapFLK","Population genetics;Natural selection","Admixture, selection footprints","hapFLK is a test designed at the beginning to detect selection in population trees based on haplotypic information from multiple populations. As it is based on the joint distribution of the allele frequencies of the tested populations, estimating their variance covariance matrix is central for estimating the distribution under neutrality. In the orignal test the variance covariance matrix was obtained from the branch lengths of the Neighbor-joining population tree. To extend this test to admixed populations we proposed three different strategies: using the test without taking into account the admixture events, estimating the variance-covariance matrix using TreeMix and estimating the variance covariance matrix empirically. For the empirical estimation of the variance-covariance, we first estimate the frequency of the ancestral alleles based on the Neighbor-Joining tree and then we estimate the covariances of each pair of populations. 
Through simulations we show that the best strategy is to use the empirical variance covariance matrix to detect selection. We could not reach the same power as when using the theoretical variance-covariance matrix, showing that the main problem relies on this matrix estimation. 
As shown previously it was easier to detect hard sweeps than soft sweeps. "
"Anastasia Ignatieva",,"Simon Myers","University of Oxford","Threading sequences into inferred genealogies with recombination","Population genetics",,"The problem of large-scale genealogy reconstruction has seen significant recent progress, with the development of several tools for inferring sequences of local trees (or ancestral recombination graphs) compatible with a given input dataset. In the absence of recombination, the classical problem of phylogenetic placement—adding an additional sequence to a fixed reference phylogeny—has received substantial interest over the past several decades, motivated in part by the scalability it offers when dealing with very large trees, and the possibility of adding new data without repeating computation. The equivalent problem in the presence of recombination has only recently began gaining momentum. We present a new approximate but principled method for accurately threading a sequence into an inferred genealogy (with the method being, in some sense, exact when the reference genealogy is the ground truth). We use the timing of the mutations that are shared by the reference genealogy and the new sequence, to construct a state space of possible nodes with which the new sequence can coalesce at each genomic location. Simulation studies with human-like parameters demonstrate that the method scales well as the sample size increases, running in a fraction of the time compared to de novo genealogy reconstruction, while maintaining excellent accuracy."
"Shing Hei Zhan",,"Shing Hei Zhan, Yan Wong, Benjamin Jeffery, Jerome Kelleher","Big Data Institute, Li Ka Shing Centre for Health Information and Discovery, University of Oxford, Oxford, UK","Rapid genotype imputation of biobank-scale whole genome sequence data using tree sequences","Population genetics","Genotype, imputation, succinct tree sequence, simulation, tskit","In whole genome sequence (WGS) datasets, thousands of genotypes often cannot be confidently determined. This problem impairs our ability to find unknown links between rare genotypes and health-related traits, but it can be mitigated by imputation methods that leverage the information in high-quality reference WGS data. Standard methods require approximate solutions to the Li and Stephens model to handle large reference panels consisting of hundreds of thousands of whole genomes. Succinct tree sequence (STS) data structure — a highly compressed representation of the genetic variation and genealogies of a population of individuals — may provide a scalable, accurate approach to biobank-scale imputation. A major advantage of STS is its exact approach to imputation, while the standard methods take an approximate approach. In principle, STS enables highly accurate imputation across genotype categories, even the ultra-rare ones that have posed a persistent challenge to the standard methods. Here, we present tsimpute, which is a STS-based imputation method part of the tskit software ecosystem, and conduct a side-by-side comparison of tsimpute and standard methods. We utilize genotype data simulated under an Out-of-Africa human demographic model to assess the imputation accuracy of tsimpute and standard methods. Alongside tskit, tsimpute holds the potential to boost analysis of biobank-scale WGS data, thereby expediting biomedical research for many years to come."
"Dario Spanò [1]",,"Adrián Gonzalez Casanova [2], Maite Wilke Berenguer [3]","[1] University of Warwick, [2] IMATE-UNAM, [3] TU Berlin","The effective strength of selection in random environment. A duality approach.","Population genetics;Natural selection","Ancestral Selection graph, frequency dependent selection, random environment, duality","We analyse a family of two-types Wright-Fisher models with frequency-dependent selection  in time-varying random environment and skewed offspring distribution. We provide a calculable criterion to quantify the impact of different shapes of selection on the fate of the weakest allele, and thus compare them. The main mathematical tool for the analyis is duality, between the population's allele frequencies and genealogy, which we prove to hold both in the case of finite population size and in the scaling limit for large size. "
"Genís Garcia-Erill",,"Genís Garcia-Erill, Kristian Hanghøj, Rasmus Heller, Anders Albrechtsen","Department of Biology, University of Copenhagen, Ole Maaløes Vej 5, 2200 Copenhagen N, Denmark","Inference of recent admixture history and parental admixture proportions from genotype and low depth sequencing data
","Population genetics",,"Interbreeding between previously isolated populations or species is a common process when populations come into secondary contact. For admixture that took place within the last few generations, the ancestry of each allele in a diploid locus is contingent on the admixture pedigree  Hence, this paired allelic ancestry information can be used to infer the admixture proportions of the parents and to identify the recent admixture pedigree. Here we introduce a maximum likelihood method with two complementary models that infer an individual’s paired ancestry proportions and the admixture proportions of the individual’s parents, respectively, without access to genetic data from the parents. The method works with genotypes or genotype likelihood data and does not rely on information about the chromosomal position. This  makes it appropriate for RADseq  and low depth sequencing data and does not require a chromosome-level genome assembly. We show how we can infer the admixture pedigrees most likely to produce the inferred paired ancestries, and how this can help time recent admixture events and distinguish them from more ancient ones. We validate the performance of the method using admixed family trios from the 1000 Genomes Project. In addition, we show its applicability on identifying recent hybrids from RAD-seq data of Grant’s gazelle (Nanger granti and N. petersii) and whole genome low depth data of waterbuck (Kobus ellipsiprymnus) which are a mixture of up to 4 populations."
"Zilong Li",," Jonas Meisner, Anders Albrechtsen"," Computational and RNA biology section, Department of biology, University of Copenhagen","PCAone: ultra-fast and accurate PCA for biobank scale data","Quantitative genetics;Methods for GWAS;Applications to cancer and other diseases;Single cell -omics","Principal Component Analysis (PCA), Randomized Singular Value Decomposition (RSVD), GWAS, UK BioBank, Big Data, Single Cell RNA ","Principal Component Analysis (PCA) is a widely used linear dimensionality reduction technique in statistics, machine learning and genetics. In the big data era, algorithms that do not require storing all data in memory are the solutions of tackling RAM issues for big datasets. Randomized Singular Value Decomposition (RSVD) and Implicitly Restarted Arnoldi Method (IRAM) are popular truncated SVD methods that approximate the full SVD. In this work, we propose a new RSVD algorithm that can achieve high accuracy within a few iterations running out-of-core.  We implemented the new method and faster blockwise versions of the existing IRAM and RSVD in our software PCAone. The benchmarking results show that PCAone is on average 4x, 9x, 12x, 30x faster than PLINK2 (fastPCA), ProPCA, TeraPCA, FlashPCA2 respectively using little memory. The accuracy of our new RSVD is comparable to the IRAM and higher than other RSVD methods. Using PCAone we are able to analyze the 330 thousands unrelated UK biobank individuals with 4 millions imputed SNPs (no LD pruning) in 5 hours to calculate the first 40 PCs. The PCs capture the population structure, signals of selection (SLC45A2), structural variants and low recombination regions. Moreover, PCAone is a general online PCA framework that supports many different formats and data types. For the single cell RNA data with 1.3 million brain cells, it took 35 minutes for PCAone to run using only 4GB. Available here https://github.com/Zilong-Li/PCAone. "
"Yulin Zhang",,"Arjun Biddanda, Colm O’Dushlaine, Priya Moorjani","[1] Center for Computational Biology, UC Berkeley, CA
[2] 54gene Inc.,1100 15th St NW, Washington, DC 20005, United States 
[3] Department of Molecular and Cell Biology, UC Berkeley, CA
Yulin Zhang [1], Arjun Biddanda [2], Colm O’Dushlaine [2], Priya Moorjani [1,3]","Recovering signatures of ghost admixture using ancestral recombination graph","Population genetics","Ancestral Recombination Graph, Ghost Admixture","While gene flow from archaic hominins into non-Africans has been well characterized, their contribution to Africans remains less understood. Emerging evidence suggests most African groups derive ~2–20% of ancestry from an unknown “ghost” archaic. The underlying model of ""ghost"" admixture remains unclear, as current methods rely on archaic genomes or an outgroup while neither of which is available. With the availability of new methods to reconstruct ancestral recombination graphs (ARG), it is now possible to reconstruct the entire evolutionary history of a set of sequences. Here we introduce a new approach to characterize archaic ancestry using the ARG built upon modern human genomes alone. Our method leverages two key features: “long branches” -- deep lineages in the coalescent tree and “long haplotypes” -- characteristic of recent gene flow. By conducting simulations under different demographic scenarios, we show the precision and recall of our method using true ARGs as well as ARGs inferred using Relate and ARGweaver. Our method outperforming other available methods to detect archaic admixture with true ARGs. However, simulations show that inferred ARGs have low sensitivity: only a small fraction of archaic segments can be reliably recovered. These results highlight the power and limitation of current ARG-based methods to recover archaic ancestry in modern human but provide a positive outlook for detecting archaic admixture as ARG inference methods improve."
"Ben Jeffery",,"Tskit developers","Big Data Institute, Oxford University","tskit - The Tree Sequence Toolkit","Population genetics;Phylogenetics","tree sequence, software","The ability to store and analyse related genetic sequences is an essential requirement for simulation, inference, and analysis in both population genetics and phylogenetics. The recent introduction of the succinct tree sequence data structure has provided a way to achieve this at population scale. Here we present the tskit software, a high-performance, portable, open-source, community-driven library. Tskit allows the creation, manipulation and analysis of succinct tree sequences, with first-class support for provenance and user-defined metadata. Tskit enables a common foundation across software projects that use succinct tree sequences, which results in unprecedented interoperability, reproducibility and maintainability."
"Ferdinand Petit",,"Ferdinand Petit [1,2], Jérémy Guez [1,2], Fanny Pouyet [2], Evelyne Heyer [1], Bruno Toupance [1], Flora Jay [2], Frédéric Austerlitz [1]","[1] UMR7206 CNRS/MNHN/Université de Paris Eco-Anthropologie, Musée de l'Homme, 75116 Paris, France
[2] Université Paris-Saclay, CNRS, INRIA, Laboratoire Interdisciplinaire des Sciences du Numérique, 91400, Orsay, France.","Impact of Cultural Transmission of Reproductive Success on whole-genome data: simulation study and ABC inference","Population genetics;Deep learning in genomics","Demographic inference, approximate Bayesian computation","Previous demographic and genetic studies demonstrated the occurrence in multiple populations of Cultural Transmission of Reproductive Success (CTRS), a positive correlation between the sibling size of an individual and his/her number of children, linked to sociocultural processes. CTRS affects coalescent tree shapes, making them imbalanced. This property was used previously to infer patrilinear and matrilinear CTRS from Y chromosome and mtDNA polymorphism data, respectively.
We aim to extend this methodology to nuclear whole-genome data, for which, unlike uniparental data, coalescent trees vary across the genome. We first infer these trees from genomic data, and compute then their imbalance indices. To this end, we compared through simulations the imbalances indices of the true coalescent trees and of those inferred by two programs (tsinfer and Relate), in simulated populations with various demographic histories and CTRS levels, using the forward-in-time simulation program SLiM. We showed that both packages infer tree imbalance levels along the genome correctly, with better performances for tsinfer.
We evaluated then how these inferred tree imbalance indices could be used as summary statistics in approximate Bayesian computation, to infer CTRS from genomic data. Our results indicate that such estimation is possible for medium to high levels of CTRS and that the strength and starting time of CTRS are accurately predicted even in presence of confounding demographic factors."
"Sinan Shi [1]",,"Simone Rubinacci [2], Loukas Moutsianas [3, 4], Alex Stuckey [3], Mark Caulfield [3, 4], Simon Myers [1], Jonathan Marchini [5]","[1] University of Oxford, [2] University of Lausanne, [3] Genomics England, [4] Queen Mary University of London, [5] Regeneron Genetics Center ","A Genomics England reference panel of 156,390 haplotypes and the improved imputation of UK Biobank","Methods for GWAS;Assembly and variant identification","Imputation, rare variants analysis, GWAS","The Genomics England (GEL) 100,000 genome project has sequenced over 85,000 genomes across England. We generated a GEL haplotype reference panel, comprising 342 million autosomal variants and 156,390 haplotypes from 79,195 individuals of diverse ancestries. We exploit both the sample size and relatedness structure among individuals, 61.3% of whom possess at least one sequenced first-degree relative, to allow high-precision haplotypic phasing.

We observe improvements in imputation performance in some populations. In samples of British origin mean imputation r^2 at allele frequency of 1e-4 is 0.45, 0.67 and 0.74 when using the HRC, TOPMed and GEL reference panel. In samples of South Asian origin mean imputation r^2 at allele frequency of 1e-4 is 0.04, 0.24 and 0.61 when using the HRC, TOPMed and GEL.

We then used the reference panel to impute the UK Biobank dataset, that was previously imputed at 39 million variants, using an HRC+UK10K reference panel. Mean info scores across SNPs in both the GEL and HRC-UK10K reference panels were 0.65 and 0.61 respectively. In the lower allele frequency bins the differences are larger. For example, for SNPs with allele frequency between 0.01% to 0.1% mean info scores were 0.88 and 0.66 for the GEL and HRC-UK10K reference panels respectively. The GEL-imputed UK Biobank dataset is being made available to all approved researchers of the UK Biobank.

We will also report results of imputed GWAS experiments on height, BMI and blood traits."
"Ryan Christ [1 ,2]",,"Xinxin Wang [2], Ira Hall [1] and David Steinsaltz [3]","[1] Yale University, [2] Washington University in St. Louis, [3] Oxford University","R-Orthogonalization: a joint testing procedure for sparse regression problems and tree association","Methods for GWAS","Higher Criticism, sparse regression, tree testing, Li and Stephens ","Many applications require testing whether a large set of predictors jointly affect an outcome of interest. Joint likelihood ratio and chi-square tests struggle to maintain power in the sparse signal setting where very few predictors have an effect on the outcome.  Sparse signal problems are common in genetics; for example, testing whether a set of variants, or the clades of some tree structure, jointly predict a phenotype. Tests that target sparse alternatives, such as Tukey's Higher Criticism, require that the predictors follow an orthogonal design, and attempts to generalise these approaches to non-orthogonal designs have yet to yield powerful procedures. We propose R-Orthogonalization (RO), a testing procedure for non-orthogonal designs that maintains power under sparse alternatives, and admits background covariates. After jointly testing a set of predictors RO also returns a minimally adjusted outcome vector that is independent of the p-value of the first test. This allows RO to be applied iteratively, or in conjunction with other testing procedures, with the resulting independent p-values being easily combined. We demonstrate the power of this approach in genetics, including iterating RO up a tree structure over diploid samples to capture and combine sparse effects on its edges.  This approach can be incorporated into an ancestry-testing framework that naturally accommodates polyploidy and various ancestry-inference engines, including tsinfer and RELATE."
"Franz Baumdicker",,"Christian Resl","University of Tuebingen","Analyzing gene co-occurrences accounting for linked descent in bacterial populations","Population genetics;Natural selection;Methods for GWAS;Phylogenetics","pangenomes, bacterial evolution","The genome of many prokaryotes is highly flexible. The total set of genes in a bacterial population, the pan-genome, is therefore often significantly larger than any individual genome from the population.
While some essential genes occur in all individuals, other genes occur only in a subset of the population. A prominent example of such dispensable genes are genes that confer resistance to antibiotic treatments. The evolutionary forces determining the presence and absence of genes is thus of great interest.
The composition of individual genomes is by no means a combination of independently evolving genes. Prokaryotes are not recombining their genomes as frequently as diploids. Consequently, their clonal relationship, i.e the phylogenetic tree of the population, strongly affects the likelihood of observed gene combinations. On the other hand, the selective benefit or cost of genes within individual genomes depends on the presence of other genes. For a metabolic pathway a complete set of genes is often necessary. On the other hand, some genes might exclude each other such that only one of the two genes can be present in any individual.
We present the software Goldfinder, a probabilistic approach that accounts for the dependencies created by the clonal species tree of a microbial population. Goldfinder can be used to find gene pairs that co-occur significantly more or less often than expected, while accounting for the probability to co-occur due to the linked descent."
"Martina Favero",,"Henrik Hult","University of Warwick","Some asymptotic results for the Kingman coalescent","Population genetics","coalescent, parent dependent mutations, weak convergence, large sample size, importance sampling","As the sample size grows to infinity, we study the asymptotic behaviour of some sequences related to the Kingman coalescent, under a general finite-alleles, parent-dependent mutation mechanism. We start by showing that the sampling probabilities under the coalescent decay polynomially in the sample size. The degree of the polynomial depends on the number of types in the model, and its coefficient on the stationary density of the dual Wright-Fisher diffusion. Then we present a weak convergence result for a sequence of Markov chains that are composed of block counting jump chains, counting-mutations components and cost components. Finally, we illustrate how these results may be linked to the analysis of asymptotic properties of backward sampling algorithms, in particular the asymptotic behaviour of importance sampling weights, since these are closely related to the cost chains.
"
"Luke Zhu [1]",,"Kelley Harris [2]","[1] University of Washington, Department of Bioengineering, Seattle, WA
[2] University of Washington, Department of Genome Sciences, Seattle , WA","A tree-based algorithm for identifying mutator alleles from genetic variation data","Population genetics;Quantitative genetics","Ancestral recombination graph","Germline mutator alleles are genetic variants that increases the overall germline mutation rate and have been implicated in driving the differences in germline mutation rate and spectra between species. However, their existence has long eluded detection. Here in this work, we propose a tree-based algorithm for identifying their presence from genetic variation data. At the mutator locus, edges within the subtree that subtends the mutator allele (mutator subtree) should carry a signal of elevated mutation rate. Given that adjacent trees in the tree sequence are highly correlated, we anticipate that a subset of the edges originally within the mutator subtree will stay under the influence of the mutator as we move away from the focal tree. We therefore developed an algorithm to identify all such edges from the tree sequence surrounding the mutator allele locus. Through simulation in msprime, we found that we consistently obtained 10x as many edge length with our approach than just analyzing the focal tree alone, potentially giving us more statistical power to identify mutator alleles. To verify our approach, we performed a mutator simulation in SLiM and recorded the tree sequence. Additionally, we labelled all the edges in the SLiM tree sequence that remained in linkage with the mutator. We found that the set of SLiM edges showed good agreement with the set of edges obtained with our tree-based algorithm.  "
"Jeremy Guez",,"Jeremy Guez [1,2], Jean Cury [2], François Bienvenu [3], Bruno Toupance [1], Evelyne Heyer [1], Frederic Austerlitz [1], Flora Jay [2]","[1] MNHN, CNRS, Université de Paris [2] Université Paris-Saclay, CNRS, INRIA, Laboratoire Interdisciplinaire des Sciences du Numérique, 91400, Orsay, France. [3] Institute for Theoretical Studies, ETHZ","Understanding and Inferring Cultural Transmission of Reproductive Success","Population genetics;Deep learning in genomics","Demographic inference, Cultural modeling, Neural Networks","Cultural Transmission of Reproductive Success (CTRS) designates a type of positive correlation in progeny size between parents and children. This process, detected in numerous human and animal populations, results from various non-genetic factors such as the transmission of social rank or resources correlated with reproductive success.

Here, we model and simulate CTRS to study its effect on the evolution of genomic diversity through time. We show that it has a double impact on population genetics: (1) effective population size decreases when CTRS starts, mimicking a population contraction, and increases back to its original value when CTRS stops, yielding an expansion-like effect; (2) coalescent trees (at the core of most population genetics studies) are imbalanced during and shortly after CTRS. Consequently, CTRS impacts site frequency spectra (SFS) and creates a strong bias in SFS-based demographic inference.

Correctly inferring CTRS from genomic data is thus crucial, not only for understanding the cultural history of populations but also to reconstruct accurately other processes of broad interest. We illustrate how exchangeable convolutional neural networks trained on simulated genomes enable the joint estimation of CTRS and demographic parameters. Similar to recent findings on the intricacy of demography, selection, and gene bias conversion, our study highlights the importance of integrating multiple processes, including CTRS, when studying evolution from genomic data.
"
"Casper Siu",,"Aylwyn Scally","University of Cambridge","Demographic inference for temporally structured samples using the coalescent with recombination","Population genetics",,"Learning demographic history from present-day and ancient molecular sequence data simultaneously may require modelling the temporal separation of samples. We use the ancestral recombination graph at two loci along a pair of sequences to analyse the effects of temporal separation on inference frameworks that exploit patterns of haplotype variation: (1) We develop a recursive backwards-in-time method to compute a range of two-locus statistics under time-stratification and a piecewise-constant population size history. We find that previously inferred population size trajectories alone fail to predict these two-locus statistics in time-stratified European whole-genome sequences. (2) We consider the problem of inferring population size history from pairwise coalescence time data along a present-day and an ancient sequence. In principle this data is also informative of population size in the time period more recent than the age of the ancient sample. By simulation we estimate inferential limits for different recombination rate and ancient sample age parameter regimes."
"Xiang Zhu",,,"The Pennsylvania State University","Effective interpretation of GWAS based on sequence-conserved regulatory elements","Population genetics;Quantitative genetics;Methods for GWAS;Functional genomics",,"Most findings from genome-wide association studies (GWAS) in humans map to noncoding regions. Approximately 3.5% of noncoding regions are conserved between human and mouse, suggesting a new direction to interpret GWAS results. However, a comprehensive characterization of conserved noncoding sequences in GWAS is still lacking. Here we report significant signatures of GWAS residing in active enhancer-like elements (AELEs) with high sequence conservation between human and mouse. We developed a simple method to identify conserved AELEs from epigenomes of 105 human cell types and tissues. Heritability enrichment analyses of 468 GWAS showed that conserved AELEs were significantly enriched in heritability, conditioning on all AELEs and 96 annotations. We observed stronger enrichments if restricting to conserved AELEs derived from trait-relevant contexts only. Similarly, integration with fine-mapping studies showed concentration of causal variants in context-specific conserved AELEs. We also prioritized variants in conserved AELEs and identified many trait-associated variants that were not identified in standard GWAS or prioritization of all AELEs. De novo motif analyses at the prioritized variants further identified trait-relevant transcription factors, revealing novel regulatory networks at conserved AELEs. In summary, this study demonstrates an effective interpretation of GWAS based on sequence-conserved regulatory elements and establishes a new resource in diverse cell types."
"Peter Ralph",,"Alison Etheridge [1], Tom Kurtz [2], Ian Letter [1], Gilia Patterson [3], Terence Tsui [1]","[1] Department of Statistics, University of Oxford, [2] Departments of Mathematics and Statistics, University of Wisconsin - Madison [3] Institute of Ecology and Evolution, University of Oregon","Spatial models in popuation genetics","Population genetics;Natural selection","spatial modeling, geography","Models of spatially explicit populations with intrinsic population regulation are challenging to set up and work with, but vitally important for understanding ongoing ecological processes. I will present a general class of Bolker-Pacala models in which fecundity, mortality, and/or establishment rates depend on local population densities, discuss considerations for stability, and describe how lineages move in these models. This is an important step in understanding how to use genomics to inform inferences of ongoing spatial processes. Simulations are done with SLiM and lienages are recorded using the tree sequence."
"Per Unneberg",,"Per Unneberg [1], Erik Enbody [2], Tom van der Valk [1], Leif Andersson [1], Per Alström [1]","[1] Uppsala University, [2] UC Santa Cruz","Evolutionary genomics of the Motacilla alba (white wagtails) radiation","Population genetics;Natural selection;Assembly and variant identification;Phylogenetics","Tree sequence","The Motacilla wagtails are a classic example of an adaptive radiation
that has resulted in an enormous diversity in male ornamented plumage
in a short time period. The White Wagtail, Motacilla alba, is a
widespread species characterized each by as many as eight phenotypic
subspecies across the Northern Hemisphere.

Despite this high phenotypic variation, little genetic differentiation
is seen between subspecies when sampling thousands of genetic loci,
which has made the evolutionary history of Motacilla wagtails
difficult to resolve. However, these characteristics provide a
potentially powerful model system to describe the molecular basis of
sexual selection in a widespread adaptive radiation.

Recently, tree sequences have been introduced as a means to store the
genetic data for entire populations. In particular, since the data
represents the genealogies for all loci in the genome, it can be used
to address questions related to population structure and history, as
implemented in the method tsinfer. As these tree structures capture
haplotype genealogies, they are particularly well suited for
investigating recent evolutionary events.

Here, we apply tsinfer to the Motacilla wagtails to investigate
ancestry and population history. In addition, we attempt to shed light
on some inconsistencies in the phylogeny that traditional population
genetic approaches fail to resolve, with a particular focus on recent
evolutionary history.
"
"Shadi Zabad",,"Shadi Zabad [1], Doruk Cakmakci [1], Simon Gravel [2], Yue Li [1]","[1] School of Computer Science, McGill University, [2] Department of Human Genetics, McGill University","Improved Polygenic Risk Estimation with Deep Functional Priors","Quantitative genetics;Methods for GWAS;Deep learning in genomics","PRS, Polygenic Risk Scores, Bayesian, Deep Neural Network, Functional Annotations","With recent advances in statistical modeling and increasing availability of large-scale biobank data, Polygenic risk scores (PRSs) have the potential to become a valuable diagnostic tool for a variety of diseases, providing clinically actionable insights and enabling personalized clinical interventions. Despite their promise, with the exception of a few well-studied traits, polygenic scores have not seen wide-scale adoption in clinical practice because the accuracy and portability of existing PRS methods remain limited.

Previous work has shown that Bayesian methods for PRS estimation achieve state-of-the-art predictive performance on traits with varying genetic architectures. In this work, we will discuss a new framework for scalable Bayesian polygenic risk modeling called VIPRS (Zabad et al. 2022, in preparation). VIPRS encompasses a set of Bayesian methods for PRS estimation that use Variational Inference for approximate posterior inference. Our analyses of simulated and real phenotypes in the UK Biobank demonstrate that VIPRS achieves competitive predictive performance, outperforming existing Bayesian methods in many settings. Furthermore, the efficiency of the variational approach allows us to scale VIPRS to 10 million SNPs, a major milestone for Bayesian PRS methods. Finally, we will present early results demonstrating that augmenting the baseline VIPRS model with functional and deep functional priors significantly boosts its predictive performance for many phenotypes."
"Siddharth Avadhanam",,"Amy Williams","Cornell University","Simultaneous inference of parental admixture proportions and admixture times from unphased local ancestry calls","Population genetics","Local Ancestry Inference, Hidden Markov Models","Population genetic analyses of local ancestry tracts routinely assume that the ancestral admixture process is identical for both parents of an individual, an assumption that may be invalid when considering recent admixture. Here we present Parental Admixture Proportion Inference (PAPI), a Bayesian tool for inferring the admixture proportions and admixture times for each parent of a single admixed individual. PAPI analyzes unphased local ancestry tracts and has two components: a binomial model that exploits homozygous ancestry regions to infer parental admixture proportions, and a hidden Markov model (HMM) that infers admixture times from tract lengths. The HMM accounts for unobserved within-ancestry recombination by approximating pedigree crossover dynamics, thus enabling inference of parental admixture times. In simulations, PAPI's admixture proportion estimates deviate from the truth by 0.047 on average, outperforming ANCESTOR by 46%. Moreover, PAPI's admixture time estimates were strongly correlated with the truth (R=0.76). We ran PAPI on African Americans genotypes from the PAGE study (N=5,786) and found strong evidence of assortative mating by ancestry proportion: couples' ancestry proportions are closer to each other than expected by chance (P<10-6), and are highly correlated (R=0.87). We anticipate that PAPI will be useful in studying the population dynamics of admixture and will also be of interest to individuals seeking to learn about their personal genealogies."
